cv1,cv2,label2,pear,spear,occ,min_bin,cond_iqr_med,frac_bins_iqr50,ent1,ent2,score,control
c_heavy_s4_r012_b3,sasa_hydrophobic_frac,sasa_hydrophobic_frac,0.1941641279193359,0.20657130986750757,1.0,1,0.9514107762633555,1.0,0.9079834279008894,0.7610754459897618,0.6038590942036592,
c_sch_s4_r012_b3,burial_w6,burial_w6,0.3193693688798625,0.26690308006020014,1.0,5,0.9587289993736585,1.0,0.8954455417198809,0.8174460779465326,0.5992672019594726,
c_ca_s4_r010_b3,pack_w6,pack_w6,0.13274324307749966,0.10529367552039888,1.0,23,1.0000000000000002,1.0,0.9113051617310904,0.6582644389314688,0.5889533566920012,
c_bb_s4_r010_b3,pack_w6,pack_w6,0.1330084577076783,0.10658070452123705,1.0,22,1.0250000000000001,1.0,0.8948969706815642,0.6582644389314688,0.588106151268876,
c_ca_s4_r010_b3,acylindricity,acylindricity,-0.23578611998436386,-0.15151029255992574,1.0,11,0.9769556861869575,1.0,0.9113051617310904,0.6785484819511279,0.5757414029346191,
c_bb_s4_r010_b3,acylindricity,acylindricity,-0.23684049339585111,-0.152364861454232,1.0,8,1.0007217323817605,1.0,0.8948969706815642,0.6785484819511279,0.5751615365086649,
c_heavy_s4_r012_b3,pack_w6,pack_w6,0.197697718165287,0.1510574528702147,1.0,17,0.9625000000000001,1.0,0.9079834279008894,0.6582644389314688,0.5588286894714402,
c_ca_s4_r010_b3,sasa_hydrophobic_frac,sasa_hydrophobic_frac,0.26784561192149564,0.2710761753790911,1.0,1,0.9487215779775304,1.0,0.9113051617310904,0.7610754459897618,0.5547660249159212,
c_bb_s4_r010_b3,sasa_hydrophobic_frac,sasa_hydrophobic_frac,0.27265828212276044,0.27554635000155364,1.0,1,0.9265238762598331,1.0,0.8948969706815642,0.7610754459897618,0.5513638847714785,
c_sch_s4_r012_b3,pack_w6,pack_w6,0.2554126117361706,0.19361584074051774,1.0,12,0.9500000000000002,1.0,0.8954455417198809,0.6582644389314688,0.5308140161581673,
c_heavy_s4_r012_b3,rg_helix_1_9,rg_helix_1_9,-0.43460767852775717,-0.3708502298751414,0.984375,5,0.9398043398398943,1.0,0.9079834279008894,0.8435138426001306,0.5224044067288676,
c_ca_s4_r010_b3,torpca_pc1,torpca_pc1,0.4485940166688911,0.39868917352639827,0.984375,5,0.8541544403689743,1.0,0.9113051617310904,0.873959632117359,0.5173101169947252,
c_bb_s4_r010_b3,torpca_pc1,torpca_pc1,0.44913625220986625,0.39934079037684594,0.984375,4,0.8436966810113615,1.0,0.8948969706815642,0.873959632117359,0.5167495284034341,
c_bb_s4_r010_b3,rg_helix_1_9,rg_helix_1_9,-0.4224813719640081,-0.38246933357396157,0.984375,3,0.8932591857349099,1.0,0.8948969706815642,0.8435138426001306,0.5127566705891902,
c_sch_s4_r012_b3,torpca_pc1,torpca_pc1,0.44623863205551173,0.4072328916377372,0.984375,5,0.870657670809082,1.0,0.8954455417198809,0.873959632117359,0.5099599220187483,
c_sch_s4_r012_b3,rg_helix_1_9,rg_helix_1_9,-0.441078241749948,-0.3877365374550683,0.9765625,6,0.9125361353787862,1.0,0.8954455417198809,0.8435138426001306,0.504348345678649,
c_ca_s4_r010_b3,rg_helix_1_9,rg_helix_1_9,-0.4350391854982982,-0.3960605637938393,0.984375,2,0.8994599339801908,1.0,0.9113051617310904,0.8435138426001306,0.5014714108674524,
c_heavy_s4_r012_b3,torpca_pc1,torpca_pc1,0.47531148813294555,0.41754135119545577,0.984375,4,0.8564670228506315,1.0,0.9079834279008894,0.873959632117359,0.5010915128947812,
c_bb_s4_r010_b3,e2e_nc_ca,e2e_nc_ca,-0.5880861157213543,-0.5516828322270637,0.9765625,1,0.8216220345758274,1.0,0.8948969706815642,0.858503870385581,0.37586135126305437,NEGATIVE
c_ca_s4_r010_b3,e2e_nc_ca,e2e_nc_ca,-0.5873949932579797,-0.5494029139228579,0.96875,1,0.7999839442407066,1.0,0.9113051617310904,0.858503870385581,0.3747506129322634,NEGATIVE
c_sch_s4_r012_b3,e2e_nc_ca,e2e_nc_ca,-0.6180932869908068,-0.5988559103182329,0.96875,1,0.814095610082836,1.0,0.8954455417198809,0.858503870385581,0.33362176127490706,NEGATIVE
c_ca_s4_r010_b3,shape_anisotropy,shape_anisotropy,-0.6164796444129669,-0.5974819049545143,0.953125,1,0.8003306146645743,0.875,0.9113051617310904,0.9434210242576385,0.3059194944532908,
c_bb_s4_r010_b3,shape_anisotropy,shape_anisotropy,-0.6155244816586669,-0.5959614734886663,0.9453125,5,0.7808493772386292,0.875,0.8948969706815642,0.9434210242576385,0.299074420743505,
c_heavy_s4_r012_b3,e2e_nc_ca,e2e_nc_ca,-0.6755705396698822,-0.6464290516209908,0.9453125,2,0.7608163710175939,1.0,0.9079834279008894,0.858503870385581,0.28694207300275665,NEGATIVE
c_sch_s4_r012_b3,rama_alpha_1_9,rama_alpha_1_9,0.1708339039694695,0.17108904141072648,0.5,30,1.0,1.0,0.8954455417198809,0.5584466265713158,0.23145126427608775,
c_heavy_s4_r012_b3,rama_alpha_1_9,rama_alpha_1_9,0.1763997042362138,0.17625622942977226,0.5,51,1.0,1.0,0.9079834279008894,0.5584466265713158,0.23000846491703983,
c_ca_s4_r010_b3,rama_alpha_1_9,rama_alpha_1_9,0.17890517268222855,0.1800172289273003,0.5,52,1.0,1.0,0.9113051617310904,0.5584466265713158,0.22895830617607435,
c_bb_s4_r010_b3,rama_alpha_1_9,rama_alpha_1_9,0.1833964567170547,0.18297220071478293,0.5,54,1.0,1.0,0.8948969706815642,0.5584466265713158,0.2281332091629078,
c_sch_s4_r012_b3,contact_order_ca8,contact_order_ca8,0.7066018179508982,0.7223678012433495,0.9765625,2,0.6578945717095055,0.75,0.8954455417198809,0.8543630033538454,0.17372950133603293,NEGATIVE
c_sch_s4_r012_b3,shape_anisotropy,shape_anisotropy,-0.7382331550722957,-0.7434499235517172,0.9296875,1,0.6353324517910939,0.8125,0.8954455417198809,0.9434210242576385,0.17352884986225053,
c_heavy_s4_r012_b3,dssp_helix_1_9,dssp_helix_1_9,0.14361171431438982,0.13159660046460245,0.375,40,1.0,0.9375,0.9079834279008894,0.42601366255954454,0.13006114903660576,
c_heavy_s4_r012_b3,shape_anisotropy,shape_anisotropy,-0.7693871403055572,-0.7665856997649318,0.890625,1,0.6155008844179524,0.6875,0.9079834279008894,0.9434210242576385,0.12976960001291493,
c_sch_s4_r012_b3,dssp_helix_1_9,dssp_helix_1_9,0.14301546732395187,0.13747961132889508,0.375,16,1.0,0.9375,0.8954455417198809,0.42601366255954454,0.12918004798009897,
