cv,mean,std,min,max,iqr,entropy,spear_energy,spear_cage,spear_trpcage_like
c_heavy_s2_r014_b3,0.5611462908304523,0.12109433494150823,0.2592712342739105,0.8645715117454529,0.17988625168800354,0.9258793073547719,-0.1776570751112711,0.5618067688503893,
c_bb_s2_r04.5_b6,0.03119529384366467,0.00784745139272945,0.0090348627418279,0.0695979446172714,0.010132452473044402,0.790216195274538,-0.29470187257293523,0.25023372010848677,
c_bb_s2_r06_b6,0.09935319592216424,0.024351395757790627,0.0343889445066452,0.2186811119318008,0.031073540449142442,0.795667647904876,-0.24312819238985894,0.3027252038432375,
c_bb_s2_r08_b3,0.2310025359674992,0.05176136152771633,0.094804860651493,0.4338981211185455,0.06848843395709991,0.8436890579192698,-0.20398706142281522,0.38785782861324725,
c_bb_s2_r08_b6,0.2304709622443142,0.051787636355120036,0.0943478792905807,0.435332179069519,0.06848142296075826,0.8419461883663106,-0.20387009632389563,0.3830987916077944,
c_bb_s2_r010_b3,0.37753930298258814,0.0859869089706733,0.1562999337911605,0.6563630700111389,0.11928799748420715,0.881786605967376,-0.1785554746236842,0.4540138998055868,
c_bb_s2_r012_b1.5,0.5126086263758266,0.11682340821806941,0.2164382934570312,0.8542126417160034,0.16298341751098638,0.9003453295335176,-0.1675432320673905,0.4972883355591787,
c_bb_s2_r012_b3,0.5150405171102761,0.11881607834235276,0.2165769785642624,0.867124080657959,0.16541984677314758,0.9001688074615992,-0.16666374824163635,0.49573008740382646,
c_bb_s2_r06_b1.5,0.10753586691767114,0.024771726681642323,0.0401651859283447,0.2234244048595428,0.03162560611963269,0.8040993115974955,-0.23974150642287453,0.33630951784612534,
c_bb_s2_r06_b3,0.10099349102809678,0.02424016448473379,0.0358516499400138,0.2189720124006271,0.03093411028385165,0.7965303249667459,-0.24315964289566375,0.3104994383549188,
c_bb_s2_r08_b1.5,0.23332877676327288,0.051867743341594975,0.0954439789056778,0.430106908082962,0.06850296258926394,0.8487847477064872,-0.2040566386525096,0.40323549001927095,
c_bb_s2_r010_b1.5,0.3763395347388156,0.08497799124968451,0.1562202125787735,0.645186185836792,0.11756113171577454,0.8851530025045108,-0.18007491659364783,0.4603580086676583,
c_bb_s2_r010_b6,0.37791796421236373,0.08631143398474415,0.1564849913120269,0.6605786085128784,0.11949771642684937,0.8806567335742185,-0.177935734696575,0.4521435932091155,
c_bb_s2_r012_b6,0.5156548242189947,0.11936356220916099,0.2161441892385482,0.8697308897972107,0.165925070643425,0.900483867560129,-0.1664716672334214,0.4952462299647701,
