variant,metric,checkpoint_index,checkpoint_step,frac_total,bin,x,F_kcal_mol,P,count
current,cv_distance,2,1944500,0.2738746788785882,6,0.23002848063285153,0.1978351964303111,0.037176610791036235,53146
current,cv_distance,2,1944500,0.2738746788785882,7,0.26218246622011065,0.20432108482388212,0.03677434304874022,50490
current,cv_distance,2,1944500,0.2738746788785882,8,0.2943364518073698,0.20537693385831912,0.03670927040401603,47478
current,cv_distance,2,1944500,0.2738746788785882,9,0.3264904373946289,0.19177810073264423,0.037556256578569674,47122
current,cv_distance,2,1944500,0.2738746788785882,10,0.35864442298188803,0.17238659079740293,0.0387979446728671,47954
current,cv_distance,2,1944500,0.2738746788785882,11,0.39079840856914716,0.1572695012916392,0.039794338574766705,48488
current,cv_distance,2,1944500,0.2738746788785882,12,0.42295239415640634,0.16093183300694003,0.039550623770481616,48394
current,cv_distance,2,1944500,0.2738746788785882,13,0.45510637974366547,0.19677178127512396,0.03724298452872818,49386
current,cv_distance,2,1944500,0.2738746788785882,14,0.4872603653309246,0.2006032124781354,0.037004397448702514,51664
current,cv_distance,2,1944500,0.2738746788785882,15,0.5194143509181837,0.20201894988271007,0.03691662530411091,49792
current,cv_distance,2,1944500,0.2738746788785882,16,0.5515683365054429,0.2003647726397586,0.03701920063635625,46456
current,cv_distance,2,1944500,0.2738746788785882,17,0.5837223220927019,0.18809826323721746,0.037788791517688915,45286
current,cv_distance,2,1944500,0.2738746788785882,18,0.6158763076799612,0.14762469984045,0.040443374297113685,46605
