variant,metric,checkpoint_index,checkpoint_step,frac_total,bin,x,F_kcal_mol,P,count
current,rg,2,1944250,0.2922245043645973,1,5.24489284834767,0.8094738769453758,0.019406953191329936,24910
current,rg,2,1944250,0.2922245043645973,2,5.437674592654467,0.5476302180349772,0.030109705452593484,68488
current,rg,2,1944250,0.2922245043645973,3,5.630456336961265,0.2390921318501784,0.05052098861401761,96090
current,rg,2,1944250,0.2922245043645973,4,5.823238081268062,0.046398907152923385,0.0697984764052053,112555
current,rg,2,1944250,0.2922245043645973,5,6.016019825574859,0.017747135617015575,0.07323493919848828,102064
current,rg,2,1944250,0.2922245043645973,6,6.208801569881657,0.07073636575500974,0.0670064287519896,90519
current,rg,2,1944250,0.2922245043645973,7,6.401583314188454,0.0,0.07544784601008564,91517
current,rg,2,1944250,0.2922245043645973,8,6.594365058495252,0.03650063728928865,0.07096703858765609,89197
current,rg,2,1944250,0.2922245043645973,9,6.78714680280205,0.10624506531905853,0.06313190885898037,85730
current,rg,2,1944250,0.2922245043645973,10,6.979928547108847,0.11510875375586616,0.06220021097850467,85541
current,rg,2,1944250,0.2922245043645973,11,7.172710291415645,0.13633154393896363,0.06002489041352819,79624
current,rg,2,1944250,0.2922245043645973,12,7.3654920357224425,0.20777858839765906,0.05324554585367202,75000
current,rg,2,1944250,0.2922245043645973,13,7.55827378002924,0.29057207138844054,0.046341435474254296,67776
current,rg,2,1944250,0.2922245043645973,14,7.751055524336038,0.3209614300779322,0.044038375863876836,63746
current,rg,2,1944250,0.2922245043645973,15,7.943837268642835,0.3976403855987749,0.03872325297878401,59348
current,rg,2,1944250,0.2922245043645973,16,8.136619012949634,0.49576619798842825,0.032846466900326145,55653
current,rg,2,1944250,0.2922245043645973,17,8.32940075725643,0.5974797554812004,0.027694394371988222,51822
current,rg,2,1944250,0.2922245043645973,18,8.522182501563227,0.6439124635590325,0.025619246134297724,48940
current,rg,2,1944250,0.2922245043645973,19,8.714964245870025,0.7162353161072164,0.022692390107846242,44588
current,rg,2,1944250,0.2922245043645973,20,8.907745990176823,0.7782556994688143,0.020450283309008287,36914
current,rg,2,1944250,0.2922245043645973,21,9.10052773448362,0.9032023995311522,0.016583551584796703,28552
current,rg,2,1944250,0.2922245043645973,22,9.293309478790418,1.0147764224662292,0.013753003590033366,18084
current,rg,2,1944250,0.2922245043645973,23,9.486091223097215,1.3274981799912402,0.008139251751588788,9684
current,rg,2,1944250,0.2922245043645973,24,9.678872967404013,1.64829085091656,0.004752168907821475,4309
