cv,family,mean,std,median,IQR,p05,p95,span_01_99,entropy,BC,nw_k1200
c_bb_s2_r010_b6,contact,0.6959885579435063,0.15572021664183353,0.7130837440490723,0.24088725447654724,0.4213853120803833,0.9263243675231934,0.5965603494644165,0.9517877773146706,0.5001164292597232,17
crat_bb_s4_n8m14_r08,contact rational,0.34617821003991467,0.1650015602801508,0.3493277728557586,0.25774755328893667,0.07928523123264304,0.6115764856338501,0.6390782722830773,0.9515366753372428,0.47435283264121536,19
c_sch_s4_r012_b1.5,contact,0.4187171142926187,0.2144739297366873,0.409332811832428,0.3374473527073861,0.08823177367448802,0.7838777303695679,0.8447821260243654,0.9514786768303156,0.47812875403534905,25
d_p4_g7_ca,geometry,7.5503570332421495,1.5914033043805438,7.693110243951931,2.7952528627364064,5.1323516766171835,10.076414086190974,5.9311177399655435,0.9511001476626876,0.5234054001156196,177
c_bb_s3_r010_b3,contact,0.6066146752884353,0.19685027041067987,0.6283467411994934,0.303656667470932,0.2581275165081024,0.8955346941947937,0.7529129162430764,0.950342844391682,0.501340213183505,22
c_heavy_s4_r010_b6,contact,0.3615003048996709,0.17676902979490303,0.3667739629745483,0.27908887714147573,0.07048163563013073,0.6414367377758027,0.6859970327466727,0.9503227483237345,0.47521586529983223,20
c_heavy_s4_r010_b3,contact,0.3622678207951433,0.17516408892812688,0.3680521845817566,0.2764035612344742,0.07250066176056856,0.6389967203140259,0.6807172960415483,0.9502735676818178,0.47509935693458294,20
c_heavy_s4_r010_b1.5,contact,0.3651684671116591,0.1694538180660752,0.3730859160423279,0.26645967364311224,0.07980740144848822,0.6300966024398804,0.6625085348263383,0.9495576702354972,0.47454118507492354,19
c_bb_s2_r010_b3,contact,0.6929735683231181,0.15367102689233791,0.7101906538009644,0.2372218668460846,0.42115935087203976,0.9182260751724243,0.589301490187645,0.9488750114373851,0.5008323987584573,17
crat_bb_s4_n8m14_r010,contact rational,0.5595783673859676,0.1930440147305922,0.5881892442703247,0.29463659226894384,0.20295984596014016,0.8289188146591188,0.7482577624917031,0.9482154517704627,0.5207111022136334,22
crat_bb_s4_n6m12_r010,contact rational,0.513170076894634,0.18137802615865029,0.5372439622879028,0.27706795930862427,0.18323166668415064,0.7726548612117767,0.7054195772111415,0.9477957785479855,0.5056765258064991,21
crat_ca_s4_n8m14_r010,contact rational,0.5425622314553065,0.19274137314666626,0.5710147023200989,0.28983245790004736,0.1900709077715873,0.8158349692821503,0.7531352217495441,0.9455294389236901,0.5103115896711949,22
crat_bb_s4_n6m12_r08,contact rational,0.31435266489852587,0.15035824311208773,0.3158272206783294,0.23480278253555303,0.07328445315361021,0.5581310570240021,0.5861988241225482,0.9444818593653436,0.47095692978853804,17
crat_bb_s4_n6m10_r08,contact rational,0.40252355533041384,0.15117818786894807,0.4126094281673431,0.23085720837116241,0.1429392024874687,0.6348749279975892,0.5968777544796465,0.9439348283876245,0.46994116372867273,17
c_bb_s2_r010_b1.5,contact,0.6819369011515926,0.14648621932695913,0.6999394297599792,0.2243688702583313,0.41955289542675017,0.8935735940933229,0.565007256269455,0.9429265616342252,0.5031133875164872,16
c_ca_s2_r010_b1.5,contact,0.6729031229925817,0.14477393257343596,0.6891793012619019,0.21858584880828857,0.41515697538852686,0.8871729671955109,0.5692808413505555,0.9418310169927165,0.48753144964132383,17
cresb_sch_s4_r012_b6,contact resbal,0.4774027328782104,0.20644127903011072,0.4898300152779039,0.30088482452763465,0.11624631583276716,0.7958073824277768,0.8682031442138675,0.9413057492339905,0.43398095985223567,25
c_sca_s4_r012_b6,contact,0.435867131057992,0.20424915371618732,0.4327744841575622,0.3140382170677185,0.10689474269747737,0.7700369834899903,0.833134871199727,0.9411270991988194,0.4512650206204734,24
crat_ca_s4_n6m12_r010,contact rational,0.4962053489565034,0.18029170723390256,0.5193871855735779,0.2724584937095642,0.17144167572259894,0.7570713460445404,0.7072191120684147,0.9408455117152095,0.4969288692112871,21
c_sch_s2_r014_b3,contact,0.7234769269417998,0.15043081232454375,0.7405093312263489,0.23376688361167908,0.4576535582542419,0.9429559528827667,0.5888163065910339,0.9407336899232702,0.4970661484111215,17
crat_heavy_s4_n8m14_r010,contact rational,0.438396105488307,0.155450406086789,0.4551974833011627,0.23759689927101135,0.15932014286518092,0.6667593955993654,0.6215411026775837,0.9400765945255007,0.479744037388377,18
c_sca_s4_r012_b3,contact,0.4363032727334118,0.2024032434675904,0.4337098002433777,0.3107391446828842,0.1089727602899074,0.7661650121212006,0.8254489936679602,0.9399876402201887,0.4503675091619595,24
c_ca_s3_r010_b3,contact,0.5948919998289451,0.19663155020558545,0.6120767593383789,0.3002333343029022,0.25237096250057217,0.8916939437389374,0.7761105030775068,0.9395489973273268,0.4787835607719747,23
c_ca_s2_r010_b3,contact,0.6849066701843444,0.15293685429686268,0.6982810497283936,0.23351502418518066,0.4184905797243118,0.9157581746578217,0.6036544466018675,0.9395468354168136,0.4787828695711625,18
crat_heavy_s4_n6m12_r010,contact rational,0.40124917759738804,0.14417654110650913,0.415629893541336,0.22047507762908936,0.14508683383464807,0.6154176950454712,0.5781830292940138,0.9393797723639217,0.47305442187783897,17
c_heavy_s4_r012_b3,contact,0.5725170818395182,0.2050428127439929,0.6058570146560669,0.31305739283561707,0.19241499602794646,0.8532524824142456,0.8005345720052719,0.9392137343982786,0.5216359816549144,23
c_heavy_s4_r012_b6,contact,0.5737498349631255,0.2070123682430797,0.6072832942008972,0.31620450317859655,0.18997788280248634,0.8572578310966492,0.8076781389117241,0.9390404410455973,0.5214906788116733,24
strand_cross_far_r012_b3,strand packing,0.5978543960968705,0.1940647842584643,0.6302182078361511,0.2957586646080017,0.23759867250919342,0.8625605165958404,0.7595198252797126,0.9389863491095881,0.5216695711468857,22
strand_cross_all_r012_b3,strand packing,0.6374130060435031,0.17457963133549043,0.666530191898346,0.2659483850002289,0.3131289392709732,0.8759302437305451,0.6834108421206474,0.9387515909485187,0.521594312610129,20
cresb_sch_s4_r012_b3,contact resbal,0.4774133025854008,0.20396526461859651,0.48957524914191,0.29589972183574,0.12030958500783887,0.7915365207788224,0.8601483742216599,0.9386697765800415,0.43374249420187283,25
c_heavy_s4_r012_b1.5,contact,0.5680436080228528,0.19794970801684766,0.6004916429519653,0.30062171816825867,0.199305148422718,0.8384375751018525,0.7750333432853221,0.9376286516884652,0.5217993252910555,23
c_bb_s4_r08_b1.5,contact,0.268234294438672,0.16787127201482296,0.2566787600517273,0.26761160790920263,0.02305381763726467,0.5575212836265564,0.6389479825645685,0.9372910667917432,0.4967892113391024,19
cresb_bb_s4_r08_b1.5,contact resbal,0.26823429471357596,0.16787127238815416,0.2566787381434724,0.2676116146945528,0.02305381740665144,0.5575213144311593,0.6389479544244352,0.9372910667917432,0.4967892084509073,19
c_sca_s4_r012_b1.5,contact,0.4378703699108577,0.19590257758836294,0.4364225268363952,0.29906028509140015,0.11681475415825844,0.7547648906707765,0.7988692899793386,0.9358979287523314,0.4473685046186754,23
crat_heavy_s4_n8m14_r08,contact rational,0.253732663158475,0.11770621987035394,0.2556490004062652,0.18392233550548556,0.062068998068571,0.44324327111244194,0.4689188668131826,0.9358385738071658,0.45853202546929045,14
c_ca_s2_r010_b6,contact,0.6887224922340566,0.1557041000644698,0.7017713189125061,0.23745933175086975,0.4188866227865219,0.9246483027935029,0.618683145046234,0.9353886296742658,0.4737623971986199,18
