cv1,cv2,pearson,spearman,occ,min_bin,cond_iqr
c_heavy_s4_r012_b3,chirality_ca,0.0696466712806239,0.09045390937021383,1.0,38,0.9948554165165793
c_heavy_s4_r012_b3,turn3537_mean_ca,-0.46259386028137595,-0.4012111018793432,0.96875,1,0.9114779730295468
c_heavy_s4_r012_b3,pack_y2,0.35158907594191746,0.3952042683574036,1.0,7,0.8636363636363636
c_heavy_s4_r012_b3,burial_d3,0.25907265671241486,0.2226037439901537,1.0,11,1.0336866041942914
c_heavy_s4_r012_b3,burial_w9,0.5044801518769976,0.5191541872520322,0.9921875,1,0.8323716632533931
c_heavy_s4_r012_b3,sasa_hydrophobic_frac,0.01830952851457859,0.0545639064799801,1.0,3,0.9718006755923754
c_heavy_s4_r012_b3,contact_order_ca8,0.8237184721050251,0.8360800775560723,0.8359375,1,0.5084240752167187
c_heavy_s4_r012_b3,e2e_nc_ca,-0.740567767922158,-0.6919658659094354,0.8984375,1,0.6942904331270576
c_heavy_s4_r012_b3,d_y2_w9_ca,-0.947269820419997,-0.9426236561596958,0.6015625,1,0.3365301072440191
c_sch_s4_r012_b3,restorpca_pc1,-0.11528463217061168,-0.10794485345295633,1.0,37,1.0053795710459732
c_sch_s4_r012_b3,torpca_pc1,-0.14649184523761555,-0.13921736362729148,1.0,11,0.9815226534540328
c_sch_s4_r012_b3,torpca_pc2,0.06014434142850266,0.057077526188168734,1.0,15,1.0395923539508742
c_sch_s4_r012_b3,torpca_pc3,0.09351302359896477,0.09552526656097175,1.0,38,0.9851599816397008
c_sch_s4_r012_b3,hairpin_closure_ratio,-0.26717711734318605,-0.32393085025395285,1.0,1,0.963491906525699
c_sch_s4_r012_b3,acylindricity,-0.013448802731649487,0.02234428883427484,1.0,16,0.9982402001700763
c_sch_s4_r012_b3,shape_anisotropy,-0.7211585428693377,-0.7422571543236278,0.90625,1,0.6903524127074123
c_sch_s4_r012_b3,chirality_ca,0.09709125764747356,0.09725351667046449,1.0,35,0.970436657660984
c_sch_s4_r012_b3,turn3537_mean_ca,-0.2794080385350844,-0.2675439135273939,1.0,2,0.9688973127938485
c_sch_s4_r012_b3,pack_y2,0.39115960013840106,0.38209900064446234,1.0,15,0.8181818181818182
c_sch_s4_r012_b3,burial_d3,0.23599926646469782,0.19661841197052835,1.0,12,1.0042566792371992
c_sch_s4_r012_b3,burial_w9,0.6874610241236099,0.6547746468720634,0.9609375,1,0.7647715480710754
c_sch_s4_r012_b3,sasa_hydrophobic_frac,-0.19038764462377472,-0.1109774444051808,1.0,14,0.9250006780580412
c_sch_s4_r012_b3,contact_order_ca8,0.5468124381975237,0.560185224896199,0.9921875,2,0.8037180991493111
c_sch_s4_r012_b3,e2e_nc_ca,-0.40279266615416137,-0.37629148409538227,1.0,2,0.9349836775762428
c_sch_s4_r012_b3,d_y2_w9_ca,-0.7649398233722121,-0.7751829267910739,0.8984375,1,0.6517316374018053
