cv1,cv2,label2,pear,spear,occ,min_bin,cond_iqr_med,frac_bins_iqr50,ent1,ent2,score,control
c_ca_s4_r010_b3,restorpca_pc1,restorpca_pc1,0.10123065731314274,0.10063695522177948,1.0,1,1.0017543150820605,1.0,0.9759105486420168,0.914928321892609,0.8228527213311646,
c_bb_s4_r010_b3,restorpca_pc1,restorpca_pc1,0.09722549521996923,0.09607258864453046,0.9921875,3,0.9570240813723816,1.0,0.978715515076252,0.914928321892609,0.8205676271655633,
c_bb_s4_r010_b3,acylindricity,acylindricity,0.05812938526311553,0.0693295469794878,1.0,6,0.996740589347175,1.0,0.978715515076252,0.871043461438561,0.8106544128575807,
c_sch_s4_r012_b3,restorpca_pc1,restorpca_pc1,-0.12578529708387923,-0.1157236228991754,1.0,4,1.011675977682387,1.0,0.9571541387239442,0.914928321892609,0.8090495017901334,
c_heavy_s4_r012_b3,acylindricity,acylindricity,0.08029565684543734,0.0861154467738108,1.0,3,0.9866296834950631,1.0,0.9569877774537032,0.871043461438561,0.7960331645973727,
c_bb_s4_r010_b3,chirality_ca,chirality_ca,0.04912263473859265,0.05871934013907498,1.0,1,0.9291699601613371,1.0,0.978715515076252,0.8186412375686498,0.770571164287983,
c_ca_s4_r010_b3,chirality_ca,chirality_ca,0.05579128760788084,0.061197434128975166,1.0,1,0.9585574060062645,1.0,0.9759105486420168,0.8186412375686498,0.7685424943572796,
c_heavy_s4_r012_b3,chirality_ca,chirality_ca,0.07624946486286038,0.09521448038866469,1.0,5,0.9122470948206235,1.0,0.9569877774537032,0.8186412375686498,0.7406947375088174,
c_sch_s4_r012_b3,chirality_ca,chirality_ca,0.12212626441058594,0.12370335962622342,1.0,5,0.9365851552380211,1.0,0.9571541387239442,0.8186412375686498,0.7173725661528386,
c_heavy_s4_r012_b3,sasa_hydrophobic_frac,sasa_hydrophobic_frac,0.0528034519264246,0.0846674208110999,0.9921875,1,0.9517391885936438,1.0,0.9569877774537032,0.7761644121697416,0.7048981937873258,
c_sch_s4_r012_b3,sasa_hydrophobic_frac,sasa_hydrophobic_frac,-0.17066893380513115,-0.10434094868421617,1.0,1,1.0042970874026413,1.0,0.9571541387239442,0.7761644121697416,0.6951786810690238,
c_heavy_s4_r012_b3,hairpin_closure_ratio,hairpin_closure_ratio,0.10093845703513604,0.027509804452224212,0.9921875,1,1.117527818735529,0.9375,0.9569877774537032,0.7584976316929514,0.6861269662447675,
c_ca_s4_r010_b3,burial_d3,burial_d3,0.20532466924739756,0.1614864964898898,1.0,2,0.9923544801086037,0.9375,0.9759105486420168,0.8296031491804048,0.6521563529458893,
c_bb_s4_r010_b3,burial_d3,burial_d3,0.20188521422056846,0.16089950287213203,0.9921875,3,0.9818958202178576,0.9375,0.978715515076252,0.8296031491804048,0.6475143507700748,
c_sch_s4_r012_b3,burial_d3,burial_d3,0.2445460556339915,0.1786370749883672,1.0,3,0.9239225882491523,0.9375,0.9571541387239442,0.8296031491804048,0.6388174398840742,
c_heavy_s4_r012_b3,burial_d3,burial_d3,0.23418780976139203,0.17702637173385166,0.9921875,2,0.9283689901040069,0.9375,0.9569877774537032,0.8296031491804048,0.6350696208995845,
c_sch_s4_r012_b3,turn3537_mean_ca,turn3537_mean_ca,-0.3311227024039652,-0.33021630619157133,0.984375,1,0.8274996685472963,1.0,0.9571541387239442,0.8875106015554187,0.5851520019882426,
c_ca_s4_r010_b3,sasa_hydrophobic_frac,sasa_hydrophobic_frac,0.20506829488888903,0.24219620492723012,0.9921875,1,0.9661682753799623,1.0,0.9759105486420168,0.7761644121697416,0.5835851782587287,
c_bb_s4_r010_b3,sasa_hydrophobic_frac,sasa_hydrophobic_frac,0.22448221624982498,0.25699685954561063,0.984375,3,0.9258455397812496,1.0,0.978715515076252,0.7761644121697416,0.5676817739424428,
c_sch_s4_r012_b3,hairpin_closure_ratio,hairpin_closure_ratio,-0.21914981151356153,-0.2808813471018685,0.9921875,1,0.9388406187638769,1.0,0.9571541387239442,0.7584976316929514,0.5411884686050094,
c_sch_s4_r012_b3,e2e_nc_ca,e2e_nc_ca,-0.42585506344259755,-0.4032206743012707,0.984375,1,0.8750937442808475,1.0,0.9571541387239442,0.9099077358584404,0.5345295293496941,NEGATIVE
c_ca_s4_r010_b3,hairpin_closure_ratio,hairpin_closure_ratio,0.2935460092587222,0.24395265039216807,0.984375,2,0.8349524088881284,0.9375,0.9759105486420168,0.7584976316929514,0.5292185715804524,
c_bb_s4_r010_b3,hairpin_closure_ratio,hairpin_closure_ratio,0.30881976866115207,0.254003558804392,0.984375,2,0.8238066349318804,0.9375,0.978715515076252,0.7584976316929514,0.5221831294275737,
c_bb_s4_r010_b3,pack_y2,pack_y2,0.2525534102786208,0.27684980342119436,0.9921875,2,1.1590909090909092,1.0,0.978715515076252,0.6095468140905123,0.4373501961020266,
