,bond,angle,torsion,nonbonded,gb_solvation,total
survivor_036_basin_037_nma_bh_candidate_5344_gencluster_5344_conf_154388_implicit_min_hop_003_mode02_m1.35A_implicit_min,19.79804229736328,76.23294067382812,377.3177185058594,-254.4716396331787,-1820.9601726531982,-1602.0828144550323
survivor_037_basin_038_nma_bh_candidate_6933_gencluster_1702_conf_111052_implicit_min_hop_003_mode01_p0.75A_implicit_min,18.15804672241211,70.67991638183594,374.3020324707031,-599.260908126831,-1435.550768852234,-1571.6710914075375
survivor_038_basin_039_candidate_1632_gencluster_1632_conf_095993_implicit_min,19.553007125854492,74.81283569335938,358.1333312988281,-562.5903062820435,-1489.0705213546753,-1599.1622432470322
survivor_039_basin_040_nma_bh_candidate_8047_gencluster_3068_conf_107139_implicit_min_hop_003_mode01_p1.35A_implicit_min,17.81332015991211,68.65544128417969,362.3171691894531,-444.821364402771,-1596.4930124282837,-1592.5292257368565
survivor_040_basin_041_nma_bh_candidate_7179_gencluster_2031_conf_514846_implicit_min_hop_001_mode02_m0.75A_implicit_min,18.719545364379883,69.32074737548828,355.67041015625,-328.08746910095215,-1699.3981065750122,-1583.775918200612
survivor_041_basin_042_nma_bh_candidate_10156_gencluster_5304_conf_295518_implicit_min_hop_000_mode02_p1.35A_implicit_min,19.09974479675293,72.978759765625,371.818603515625,-422.6275520324707,-1619.1511311531067,-1577.8801460415125
survivor_042_basin_043_nma_bh_candidate_6311_gencluster_882_conf_565525_implicit_min_hop_000_mode02_m0.75A_implicit_min,19.140941619873047,72.43315124511719,366.7652587890625,-372.9495048522949,-1681.136592388153,-1595.7461361587048
survivor_043_basin_044_candidate_5635_gencluster_104_conf_387164_implicit_min,17.37241554260254,57.50704574584961,367.32208251953125,-429.90044689178467,-1602.8009853363037,-1590.4996501803398
survivor_044_basin_045_nma_bh_candidate_7630_gencluster_2587_conf_369811_implicit_min_hop_003_mode02_m1.35A_implicit_min,17.275344848632812,71.65550994873047,360.75372314453125,-476.1950831413269,-1555.2442665100098,-1581.755125194788
survivor_045_basin_047_nma_bh_candidate_938_gencluster_938_conf_434241_implicit_min_hop_002_mode02_m0.75A_implicit_min,19.811861038208008,76.09757995605469,362.15216064453125,-610.5703926086426,-1449.944983959198,-1602.4534442424774
survivor_046_basin_048_candidate_11699_gencluster_1990_conf_740064_implicit_min,18.13620948791504,69.78901672363281,347.40875244140625,-439.3942356109619,-1593.1272826194763,-1597.1872918009758
survivor_047_basin_049_candidate_10770_gencluster_503_conf_414931_implicit_min,22.317703247070312,85.96528625488281,366.65960693359375,-627.6209745407104,-1422.1643991470337,-1574.8426994085312
survivor_048_basin_050_candidate_10066_gencluster_5213_conf_417347_implicit_min,17.979589462280273,68.92890930175781,374.5023498535156,-628.5498056411743,-1456.2863912582397,-1623.4257403612137
survivor_049_basin_051_nma_bh_candidate_2892_gencluster_2892_conf_653960_implicit_min_hop_000_mode02_m1.35A_implicit_min,21.931001663208008,88.85073852539062,363.51910400390625,-644.700945854187,-1435.1011066436768,-1605.500795841217
survivor_050_basin_052_candidate_2038_gencluster_2038_conf_058916_implicit_min,17.411880493164062,71.51065063476562,399.0060729980469,-472.7629270553589,-1582.9184398651123,-1567.7531638145447
survivor_051_basin_053_candidate_11137_gencluster_1001_conf_471252_implicit_min,19.35042953491211,72.49766540527344,374.2930908203125,-558.776195526123,-1492.857702255249,-1585.4929667711258
survivor_052_basin_054_nma_bh_candidate_990_gencluster_990_conf_110264_implicit_min_hop_000_mode02_p1.35A_implicit_min,20.01800537109375,89.16766357421875,371.4678955078125,-581.2945046424866,-1482.1469588279724,-1582.7871495336294
survivor_053_basin_055_nma_bh_candidate_6311_gencluster_882_conf_565525_implicit_min_hop_002_mode02_p1.35A_implicit_min,19.500144958496094,81.89503479003906,360.8764953613281,-279.5423631668091,-1756.3199791908264,-1573.5909396111965
survivor_054_basin_056_candidate_5816_gencluster_309_conf_649290_implicit_min,18.510704040527344,74.39205169677734,379.055419921875,-375.9471654891968,-1655.2931804656982,-1559.2814246714115
survivor_055_basin_057_nma_bh_candidate_10173_gencluster_5321_conf_122306_implicit_min_hop_003_mode02_m1.35A_implicit_min,22.240589141845703,100.04623413085938,358.8257141113281,-734.1826725006104,-1352.8107647895813,-1605.8808121681213
survivor_056_basin_058_candidate_2622_gencluster_2622_conf_162769_implicit_min,20.565540313720703,67.20665740966797,372.6512145996094,-566.5959148406982,-1495.2638940811157,-1601.4363732933998
survivor_057_basin_060_nma_bh_candidate_6047_gencluster_574_conf_623730_implicit_min_hop_001_mode01_m1.35A_implicit_min,19.88657569885254,73.9314193725586,372.2936096191406,-488.22519302368164,-1541.3489475250244,-1563.4621057510376
survivor_058_basin_061_nma_bh_candidate_842_gencluster_842_conf_179409_implicit_min_hop_000_mode02_p1.35A_implicit_min,16.06287956237793,53.8220100402832,373.177490234375,-401.0547652244568,-1640.463864326477,-1598.456288009882
survivor_059_basin_062_candidate_9837_gencluster_4972_conf_717191_implicit_min,17.55344581604004,69.55670928955078,356.11083984375,-490.88254165649414,-1524.3285503387451,-1571.9900812506676
survivor_060_basin_063_candidate_2768_gencluster_2768_conf_357173_implicit_min,19.1184024810791,75.84341430664062,367.72930908203125,-336.5503263473511,-1698.087688446045,-1571.9472717642784
survivor_061_basin_064_candidate_11893_gencluster_2293_conf_234184_implicit_min,18.32217025756836,78.26895141601562,374.0418701171875,-691.6410751342773,-1408.208267211914,-1629.2162952423096
survivor_062_basin_065_nma_bh_candidate_9221_gencluster_4325_conf_152517_implicit_min_hop_000_mode01_m1.35A_implicit_min,17.590885162353516,76.35003662109375,365.08355712890625,-556.4318580627441,-1540.9013261795044,-1638.3092708587646
survivor_063_basin_066_nma_bh_candidate_9226_gencluster_4331_conf_794910_implicit_min_hop_001_mode02_m1.35A_implicit_min,17.094266891479492,66.73837280273438,357.93359375,-330.4881520271301,-1708.2919878959656,-1597.0142776966095
survivor_064_basin_067_candidate_2346_gencluster_2346_conf_064672_implicit_min,17.195974349975586,62.96320343017578,358.85089111328125,-479.25563383102417,-1561.7765836715698,-1602.0220246762037
survivor_065_basin_068_candidate_3590_gencluster_3590_conf_017883_implicit_min,17.600927352905273,64.23774719238281,357.3123474121094,-427.93536853790283,-1590.1615447998047,-1578.9461384117603
survivor_066_basin_069_candidate_5818_gencluster_311_conf_709042_implicit_min,17.215625762939453,61.17727279663086,354.00927734375,-513.0779266357422,-1535.4318208694458,-1616.107807457447
survivor_067_basin_070_candidate_509_gencluster_509_conf_485704_implicit_min,18.440990447998047,69.39424133300781,391.98211669921875,-517.7295780181885,-1558.5079069137573,-1596.4205629825592
survivor_068_basin_071_candidate_6483_gencluster_1097_conf_060640_implicit_min,19.742734909057617,78.11441040039062,376.8293762207031,-498.61396884918213,-1571.8708219528198,-1595.79870313406
