seed,torsion_psi1,torsion_psi2,torsion_psi3,torsion_psi4,torsion_psi5,torsion_psi6,ca_drmsd_psi1,ca_drmsd_psi2,ca_drmsd_psi3,ca_drmsd_psi4,ca_drmsd_psi5,ca_drmsd_psi6
survivor_043_basin_044_candidate_1824_gencluster_1824_conf_013500_implicit_min,-0.0258020323062404,0.013774248035378425,-0.03715438466899265,-0.03769225883229903,-0.0026502520275688006,0.017178551171261887,0.004844620580706879,-0.03476105612568461,0.04637600465051307,-0.0034048811739788914,0.04773604157903482,0.0022715272719023966
survivor_044_basin_045_nma_bh_candidate_1684_gencluster_1684_conf_111666_implicit_min_hop_002_mode01_m0.75A_implicit_min,-0.007591502327306609,-0.011436285688631502,-0.015212233180772038,-0.018415119218349024,-0.006675266937334902,-0.019837782285274944,-0.027023692291032665,-0.02773548120033327,-0.012215803379517068,-0.026123598217782807,-0.019453861576860285,0.0215350861355202
survivor_045_basin_046_candidate_813_gencluster_813_conf_008039_implicit_min,-0.007123877379754861,0.04784519558977825,0.00567513133942526,-0.0013042918514863133,-0.007304610596813453,-0.004216996288582866,-0.044211770864543226,-0.004915419028136263,-0.014925002478046527,-0.0049751561988949766,0.004037359541525469,-0.009111700228403895
survivor_046_basin_047_candidate_2736_gencluster_815_conf_151086_implicit_min,-0.002418775033458389,0.005723675576563531,-0.02270784929329413,-0.006694425587288482,4.7234129903015105e-05,0.03292717853345226,0.01377252234091653,-0.004639994481774647,0.023777460058828807,-0.011296812643552997,0.05678478529187934,0.018680921628154316
survivor_047_basin_048_candidate_018_gencluster_018_conf_009938_implicit_min,0.018186653117176817,0.020016048237270913,0.024668762415904294,0.015341875789818795,-0.018228419921545797,-0.002500288416801222,0.0012635228442200012,0.018562297191992136,-0.013313665921749804,-0.008587146595758438,-0.02202099101519421,0.008662751533099726
survivor_048_basin_049_nma_bh_candidate_631_gencluster_631_conf_003162_implicit_min_hop_000_mode02_m1.35A_implicit_min,0.03516398826815908,-0.006496713287931422,0.015417033139962203,0.03817929374834463,0.0077085004619469755,0.010453464685672365,-0.00020665361312047716,0.0010675419392854333,-0.041787327526943974,-0.006724063794277526,-0.011367829805007924,-0.0019456907842597179
survivor_049_basin_050_nma_bh_candidate_2432_gencluster_394_conf_196710_implicit_min_hop_001_mode01_m0.75A_implicit_min,-0.013099294410025396,0.008002914555300408,-0.01435382028934416,-0.006130993573363407,0.012568496952793658,0.017947669834817413,-0.0282243793629034,-0.004370965286028154,0.014841505195956348,-0.01489143762314085,0.0408532284934035,-0.026469149899635776
survivor_050_basin_051_explore_r04_hit_0024_conf_000679_implicit_min,-0.008278574268253373,-0.020518996767762202,0.03236638277021445,-0.02802408703819357,-0.024356745770882877,-0.015518336560724594,0.02002608725835639,-0.011539602360348665,0.020896901867094118,0.040403954782828634,0.006971743430532382,0.0033901305699655998
survivor_051_basin_052_nma_bh_candidate_2622_gencluster_663_conf_094041_implicit_min_hop_000_mode01_p0.75A_implicit_min,-0.012197917173235298,0.019521544668480967,0.021070389642801734,-0.003508657276734306,-0.027139278722569986,0.042121331117301625,-0.031413013223162485,0.0428611356894987,0.0067455429985863674,-0.01687106540020195,-0.019745992249600483,-0.01588329367939414
survivor_052_basin_053_candidate_1991_gencluster_1991_conf_023509_implicit_min,0.0460308573298941,0.011217922532000468,-0.002967233325647871,-0.022088061823529355,0.024137008731184594,-0.012128148649388264,0.019872392452966178,-0.005379416031133531,-0.028830818191150024,0.0006987903211596777,0.005772168293559661,-0.04860419072372827
