cv,family,mean,std,skew,exkurt,min,p05,median,p95,max,IQR,span_p05_95,span_p01_99,entropy,eff_states,BC,nw_k1200,nw_k250
c_ca_s2_r010_b3,contact,0.6612422503493159,0.1526424892206622,-0.1197223677760646,-0.8333012171486125,0.3008259236812591,0.4084492206573486,0.6675397455692291,0.9029848337173462,0.9900688529014589,0.234059676527977,0.49453561305999755,0.5994364243745804,0.9542476435022729,17.43832660977074,0.4671602723501317,17,8
c_heavy_s4_r012_b1.5,contact,0.5435161143995179,0.19690982354903086,-0.4465127348739236,-0.6140849325305262,0.0425785705447196,0.1788660153746605,0.5751790106296539,0.8245790958404541,0.908161163330078,0.2935248389840126,0.6457130804657936,0.7917676293849946,0.9537202519074565,17.410797131635473,0.5017268221279428,23,10
c_ca_s2_r010_b6,contact,0.6647020952048035,0.1553265859415237,-0.10536898184739926,-0.8355608030400621,0.2954608500003814,0.4060373976826668,0.6704515516757965,0.9140342891216278,0.9972199201583862,0.23852382600307465,0.507996891438961,0.6100063893198968,0.9535806502250094,17.403517297307612,0.4661574052510384,18,8
d_e5_t8_ca,geometry,7.724787536656264,1.480964177894956,-0.08999005325928827,-1.003938476028126,4.568749450921004,5.402354823389373,7.867483247927401,10.02808589155182,10.972747907738,2.452077579540326,4.625731068162447,5.623784507024577,0.9533059896038059,17.389203404296275,0.5038884161790943,168,76
crat_ca_s4_n8m14_r08,contact rational,0.3012697535931005,0.1588351144556544,0.2016665698043962,-0.824863586940634,0.0175402369350194,0.06009870283305639,0.29520139098167414,0.5662781447172165,0.716749906539917,0.2504938021302223,0.5061794418841601,0.6364898346737027,0.9525861521247835,17.35174502700877,0.47743421100822686,19,8
crat_bb_s4_n6m10_r08,contact rational,0.37895711484710276,0.1507580935257969,-0.025859918069956495,-0.8380915828164985,0.0616354830563068,0.1319288559257984,0.380470260977745,0.6170055449008941,0.7462035417556763,0.23255430907011027,0.4850766889750957,0.6017761463671921,0.9525493317273208,17.34983116476092,0.46188590253004097,17,8
crat_ca_s4_n6m10_r010,contact rational,0.5490951919616176,0.16645078312807463,-0.3953018990217387,-0.6326064880077253,0.1295289099216461,0.24758985489606852,0.5660541355609894,0.7864735394716262,0.8721778392791748,0.24435161799192429,0.5388836845755577,0.678047690242529,0.9524524810622007,17.34479803812739,0.4874697813716613,20,9
cresb_sch_s4_r012_b6,contact resbal,0.4580239400314588,0.2045679863525181,-0.21141037397562398,-0.6182627479772727,4.368316796090869e-08,0.09447542719812027,0.47701430858164606,0.7719368427029499,0.9318211706789832,0.2950628089638324,0.6774614155048296,0.8528617847273953,0.9519976808293377,17.321182540413695,0.43778587192918506,25,11
cresb_heavy_s4_r012_b1.5,contact resbal,0.5730051470301484,0.1992871586983162,-0.5267345117891548,-0.574370205726439,0.0557064689140319,0.20264385278198532,0.6048726851580972,0.8430446673263675,0.9171526814553992,0.2990648455149527,0.6404008145443822,0.7918114152567783,0.9515926878754196,17.300180350717916,0.5256547024312288,23,10
crat_bb_s4_n8m14_r08,contact rational,0.32035683595627396,0.1629970446497913,0.1631751785408964,-0.8568937715632474,0.0217012073844671,0.07123816795647141,0.3135383874177933,0.5884002208709717,0.7478083968162537,0.2539155222475529,0.5171620529145002,0.6371220946684478,0.9512319009471253,17.281492052885188,0.47801578646896276,19,8
