seed,bond,angle,torsion,nonbonded,gb_solvation,total
survivor_1061_basin_1079_candidate_1348_gencluster_1348_conf_024995_implicit_min,20.20683479309082,73.59184265136719,373.6930236816406,-394.4885835647583,-1660.9435925483704,-1587.9404789805412
survivor_1062_basin_1080_nma_bh_candidate_416_gencluster_416_conf_072635_implicit_min_hop_002_mode01_m0.75A_implicit_min,20.00893211364746,85.64408111572266,374.38623046875,-449.25353145599365,-1613.3511486053467,-1582.565058708191
survivor_1063_basin_1081_candidate_401_gencluster_401_conf_179453_implicit_min,19.072128295898438,73.51261138916016,349.62261962890625,-444.27640438079834,-1604.1077737808228,-1606.176481306553
survivor_1064_basin_1082_candidate_2996_gencluster_1132_conf_023971_implicit_min,19.138351440429688,73.47711181640625,386.4441833496094,-521.2246761322021,-1563.4013080596924,-1605.5664315223694
survivor_1065_basin_1083_candidate_1255_gencluster_1255_conf_061684_implicit_min,18.83425521850586,81.36039733886719,361.32110595703125,-671.4901332855225,-1390.851641178131,-1600.8262784481049
survivor_1066_basin_1084_candidate_344_gencluster_344_conf_028729_implicit_min,19.258249282836914,73.44536590576172,382.11602783203125,-391.47241020202637,-1663.4120073318481,-1580.0651277899742
survivor_1067_basin_1085_nma_bh_candidate_926_gencluster_926_conf_015915_implicit_min_hop_001_mode01_p1.35A_implicit_min,19.92775535583496,86.14727783203125,368.7264099121094,-437.1845769882202,-1615.0236916542053,-1577.4072308540344
survivor_1068_basin_1086_candidate_2684_gencluster_753_conf_185631_implicit_min,20.119094848632812,87.38864135742188,350.4788513183594,-328.00009298324585,-1724.9755358695984,-1594.9892777949572
survivor_1069_basin_1087_nma_bh_candidate_2799_gencluster_891_conf_103935_implicit_min_hop_001_mode01_m1.35A_implicit_min,19.428159713745117,78.89346313476562,366.3757629394531,-252.57203197479248,-1784.2051935195923,-1572.0787646770477
survivor_106_basin_109_nma_bh_candidate_2293_gencluster_217_conf_180539_implicit_min_hop_000_mode02_m0.75A_implicit_min,16.239501953125,53.64622497558594,365.56072998046875,-433.8049077987671,-1599.525478363037,-1597.8839013278484
survivor_1070_basin_1088_nma_bh_candidate_896_gencluster_896_conf_007510_implicit_min_hop_001_mode01_m1.35A_implicit_min,19.414485931396484,69.04657745361328,373.044921875,-653.069938659668,-1397.5656442642212,-1589.1290773749352
survivor_1071_basin_1089_candidate_2300_gencluster_225_conf_070728_implicit_min,19.48443031311035,73.0537109375,382.2935485839844,-470.5835313796997,-1613.305425643921,-1609.057469189167
survivor_1072_basin_1090_candidate_962_gencluster_962_conf_018537_implicit_min,15.852516174316406,64.53724670410156,384.51483154296875,-280.4460983276367,-1736.7069368362427,-1552.2476009130478
survivor_1073_basin_1091_nma_bh_candidate_2364_gencluster_303_conf_151536_implicit_min_hop_000_mode01_m1.35A_implicit_min,19.239826202392578,79.2652816772461,359.13848876953125,-467.3207130432129,-1576.9530806541443,-1586.630243062973
survivor_1074_basin_1092_candidate_130_gencluster_130_conf_046701_implicit_min,17.224462509155273,68.79945373535156,383.38934326171875,-575.2544822692871,-1477.8149604797363,-1583.6569511294365
survivor_1075_basin_1093_candidate_918_gencluster_918_conf_044017_implicit_min,19.80055809020996,77.02824401855469,369.02825927734375,-584.5301399230957,-1488.4531440734863,-1607.1260631084442
survivor_1076_basin_1094_candidate_2748_gencluster_830_conf_030463_implicit_min,14.954174995422363,54.984230041503906,364.91259765625,-490.7059507369995,-1536.5306558609009,-1592.3851211071014
survivor_1077_basin_1095_explore_r01_hit_0050_conf_038281_implicit_min,20.111547470092773,94.55625915527344,376.4651184082031,-477.25005531311035,-1599.7633533477783,-1585.8805136680603
survivor_1078_basin_1096_nma_bh_candidate_2739_gencluster_819_conf_086560_implicit_min_hop_002_mode01_p1.35A_implicit_min,19.960912704467773,88.24547576904297,357.03076171875,-521.5307712554932,-1557.1707954406738,-1613.4644774198532
survivor_1079_basin_1097_nma_bh_candidate_2663_gencluster_717_conf_014249_implicit_min_hop_000_mode01_m0.75A_implicit_min,19.171167373657227,82.78097534179688,382.57794189453125,-379.93809509277344,-1702.5429515838623,-1597.950882434845
survivor_107_basin_110_nma_bh_candidate_416_gencluster_416_conf_072635_implicit_min_hop_003_mode01_m1.35A_implicit_min,20.58314323425293,82.62094116210938,369.86297607421875,-493.82905292510986,-1580.7257947921753,-1601.4869651794434
survivor_1080_basin_1098_candidate_010_gencluster_010_conf_099966_implicit_min,20.177453994750977,81.18305206298828,370.45501708984375,-629.3822374343872,-1447.7904739379883,-1605.3569263517857
survivor_1081_basin_1099_candidate_2243_gencluster_159_conf_104013_implicit_min,17.096513748168945,65.47816467285156,354.90167236328125,-570.6354064941406,-1502.007926940918,-1635.1673835515976
survivor_1082_basin_1100_nma_bh_candidate_2397_gencluster_351_conf_182360_implicit_min_hop_002_mode01_p1.35A_implicit_min,18.979686737060547,72.92604064941406,360.9238586425781,-354.08381366729736,-1690.9388437271118,-1592.1938251256943
survivor_1083_basin_1101_nma_bh_candidate_2879_gencluster_988_conf_169931_implicit_min_hop_000_mode02_p0.75A_implicit_min,18.25626564025879,73.49791717529297,387.7777099609375,-539.9060707092285,-1539.6026668548584,-1599.9774463772774
