method,bin,rg_A,probability,pmf_kcal_mol,counts
gamd_cumulant3,15,7.943837268642835,0.06970860924961102,0.05963671059996156,202821
gamd_cumulant3,16,8.136619012949634,0.0672795038093367,0.0807814709654151,187454
gamd_cumulant3,17,8.32940075725643,0.06617489498897679,0.09065061054499557,174950
gamd_cumulant3,18,8.522182501563227,0.06351606289786828,0.11509818794336857,165266
gamd_cumulant3,19,8.714964245870025,0.05722739148501822,0.17725406829707646,147837
gamd_cumulant3,20,8.907745990176823,0.05458861852696025,0.20539720082772628,126028
gamd_cumulant3,21,9.10052773448362,0.0467380511917743,0.2979612401067637,95372
gamd_cumulant3,22,9.293309478790418,0.05167153967234162,0.23813734629280336,64013
gamd_cumulant3,23,9.486091223097215,0.03165356037374354,0.5302900588338464,37431
gamd_cumulant3,24,9.678872967404013,0.009878071209488238,1.2245397565184477,18137
gamd_cumulant3,25,9.87165471171081,0.0025399493213725047,2.034229992267596,7153
gamd_cumulant3,26,10.064436456017608,8.60873364372983e-05,4.051959945925718,2466
gamd_cumulant3,27,10.257218200324406,4.877897693427784e-05,4.390617050976761,601
gamd_cumulant3,28,10.449999944631202,1.7501484351402882e-06,6.3744026118966035,94
gamd_cumulant3,29,10.642781688938001,5.229437053643126e-09,9.83997888352493,20
