method,pca1_bin,pca2_bin,pca1_A,pca2_A,probability,pmf_kcal_mol,counts
umbrella_only,2,24,-12.594207207361857,5.207218170166016,8.11895435471128e-05,2.6145048909181994,2
umbrella_only,2,25,-12.594207207361857,5.790369033813477,0.0,,0
umbrella_only,2,26,-12.594207207361857,6.3735198974609375,0.0,,0
umbrella_only,2,27,-12.594207207361857,6.956670761108398,0.0,,0
umbrella_only,2,28,-12.594207207361857,7.539821624755859,0.0,,0
umbrella_only,2,29,-12.594207207361857,8.12297248840332,0.0,,0
umbrella_only,3,0,-11.658630355199177,-8.788402557373047,0.0,,0
umbrella_only,3,1,-11.658630355199177,-8.205251693725586,0.0,,0
umbrella_only,3,2,-11.658630355199177,-7.622100830078125,0.0,,0
umbrella_only,3,3,-11.658630355199177,-7.038949966430664,0.0,,0
umbrella_only,3,4,-11.658630355199177,-6.455799102783203,0.0,,0
umbrella_only,3,5,-11.658630355199177,-5.872648239135742,0.0,,0
umbrella_only,3,6,-11.658630355199177,-5.289497375488281,0.0,,0
umbrella_only,3,7,-11.658630355199177,-4.70634651184082,0.0,,0
umbrella_only,3,8,-11.658630355199177,-4.123195648193359,0.0,,0
umbrella_only,3,9,-11.658630355199177,-3.5400447845458984,0.0,,0
umbrella_only,3,10,-11.658630355199177,-2.9568939208984375,0.0,,0
umbrella_only,3,11,-11.658630355199177,-2.3737430572509766,0.0,,0
umbrella_only,3,12,-11.658630355199177,-1.7905921936035156,0.00010952309701379121,2.4360446123158,2
umbrella_only,3,13,-11.658630355199177,-1.2074413299560547,9.586282275851258e-05,2.5154635595959216,7
umbrella_only,3,14,-11.658630355199177,-0.6242904663085938,0.0006860923541037313,1.3421621227586136,26
umbrella_only,3,15,-11.658630355199177,-0.04113960266113281,0.000990126053892618,1.123478233045979,37
umbrella_only,3,16,-11.658630355199177,0.5420112609863281,0.0013047859513837074,0.9589603613314095,47
umbrella_only,3,17,-11.658630355199177,1.125162124633789,0.0011641993234739517,1.0269259845178813,73
umbrella_only,3,18,-11.658630355199177,1.70831298828125,0.002037129034624134,0.6933690365058438,79
umbrella_only,3,19,-11.658630355199177,2.291463851928711,0.0009219240039189781,1.1660259458398685,48
umbrella_only,3,20,-11.658630355199177,2.874614715576172,0.0005886621785292614,1.4334700513372511,41
umbrella_only,3,21,-11.658630355199177,3.457765579223633,0.0005192157766789554,1.5083079153848922,27
umbrella_only,3,22,-11.658630355199177,4.040916442871094,0.00024390997450153993,1.9587198931990524,21
umbrella_only,3,23,-11.658630355199177,4.624067306518555,3.4918380504370864e-05,3.1175297475081325,7
umbrella_only,3,24,-11.658630355199177,5.207218170166016,2.6193998086643374e-05,3.288916009122366,7
umbrella_only,3,25,-11.658630355199177,5.790369033813477,1.1904162521816804e-07,6.504498076243573,2
umbrella_only,3,26,-11.658630355199177,6.3735198974609375,0.0,,0
umbrella_only,3,27,-11.658630355199177,6.956670761108398,0.0,,0
umbrella_only,3,28,-11.658630355199177,7.539821624755859,0.0,,0
umbrella_only,3,29,-11.658630355199177,8.12297248840332,0.0,,0
umbrella_only,4,0,-10.723053503036498,-8.788402557373047,0.0,,0
umbrella_only,4,1,-10.723053503036498,-8.205251693725586,0.0,,0
umbrella_only,4,2,-10.723053503036498,-7.622100830078125,0.0,,0
umbrella_only,4,3,-10.723053503036498,-7.038949966430664,0.0,,0
umbrella_only,4,4,-10.723053503036498,-6.455799102783203,0.0,,0
umbrella_only,4,5,-10.723053503036498,-5.872648239135742,0.0,,0
umbrella_only,4,6,-10.723053503036498,-5.289497375488281,0.0,,0
umbrella_only,4,7,-10.723053503036498,-4.70634651184082,0.0,,0
umbrella_only,4,8,-10.723053503036498,-4.123195648193359,0.0,,0
umbrella_only,4,9,-10.723053503036498,-3.5400447845458984,0.0,,0
umbrella_only,4,10,-10.723053503036498,-2.9568939208984375,0.0,,0
umbrella_only,4,11,-10.723053503036498,-2.3737430572509766,2.0606162147164685e-05,3.4319590291965905,5
umbrella_only,4,12,-10.723053503036498,-1.7905921936035156,0.00029277378077117273,1.8498602291014161,11
umbrella_only,4,13,-10.723053503036498,-1.2074413299560547,0.000224814167514527,2.0073219779982865,30
umbrella_only,4,14,-10.723053503036498,-0.6242904663085938,0.0009676900201296284,1.1371425197881977,54
umbrella_only,4,15,-10.723053503036498,-0.04113960266113281,0.0010440531528312313,1.0918617630349918,79
umbrella_only,4,16,-10.723053503036498,0.5420112609863281,0.002153890328655984,0.6601424756117678,102
umbrella_only,4,17,-10.723053503036498,1.125162124633789,0.0021886773408149557,0.650590931540477,96
umbrella_only,4,18,-10.723053503036498,1.70831298828125,0.0022005616717768236,0.6473625836546857,105
umbrella_only,4,19,-10.723053503036498,2.291463851928711,0.0015635977491677494,0.8510847337112493,78
umbrella_only,4,20,-10.723053503036498,2.874614715576172,0.0011346117117038547,1.0422730158969453,72
umbrella_only,4,21,-10.723053503036498,3.457765579223633,0.0005738264003166103,1.448687399485737,49
umbrella_only,4,22,-10.723053503036498,4.040916442871094,0.000449584127612056,1.594153086680461,39
umbrella_only,4,23,-10.723053503036498,4.624067306518555,4.016232592691277e-05,3.0341172237612537,17
umbrella_only,4,24,-10.723053503036498,5.207218170166016,6.208331686783218e-05,2.7744604233978216,13
umbrella_only,4,25,-10.723053503036498,5.790369033813477,5.0226969797739926e-05,2.900802005869473,10
umbrella_only,4,26,-10.723053503036498,6.3735198974609375,4.082597696792178e-06,4.39705870068256,5
umbrella_only,4,27,-10.723053503036498,6.956670761108398,0.0,,0
umbrella_only,4,28,-10.723053503036498,7.539821624755859,0.0,,0
umbrella_only,4,29,-10.723053503036498,8.12297248840332,0.0,,0
umbrella_only,5,0,-9.78747665087382,-8.788402557373047,0.0,,0
umbrella_only,5,1,-9.78747665087382,-8.205251693725586,0.0,,0
umbrella_only,5,2,-9.78747665087382,-7.622100830078125,0.0,,0
umbrella_only,5,3,-9.78747665087382,-7.038949966430664,0.0,,0
umbrella_only,5,4,-9.78747665087382,-6.455799102783203,0.0,,0
umbrella_only,5,5,-9.78747665087382,-5.872648239135742,0.0,,0
umbrella_only,5,6,-9.78747665087382,-5.289497375488281,0.0,,0
umbrella_only,5,7,-9.78747665087382,-4.70634651184082,0.0,,0
umbrella_only,5,8,-9.78747665087382,-4.123195648193359,0.0,,0
umbrella_only,5,9,-9.78747665087382,-3.5400447845458984,0.0,,0
umbrella_only,5,10,-9.78747665087382,-2.9568939208984375,0.0001267215322349341,2.349090578656018,3
umbrella_only,5,11,-9.78747665087382,-2.3737430572509766,0.00015076721420628604,2.2455105374701723,27
umbrella_only,5,12,-9.78747665087382,-1.7905921936035156,0.0010884365042467799,1.0670424566755243,53
umbrella_only,5,13,-9.78747665087382,-1.2074413299560547,0.002030263170812827,0.6953817098958295,84
umbrella_only,5,14,-9.78747665087382,-0.6242904663085938,0.0011302790613142233,1.0445538866330835,94
