method,pca1_bin,pca2_bin,pca1_A,pca2_A,probability,pmf_kcal_mol,counts
gamd_cumulant2,7,20,-7.916322946548462,2.874614715576172,0.0007300672988550617,3.3415055730136975,228
gamd_cumulant2,7,21,-7.916322946548462,3.457765579223633,0.0002790214001617961,3.914922247511238,203
gamd_cumulant2,7,22,-7.916322946548462,4.040916442871094,0.00010801648120599957,4.480682079684166,203
gamd_cumulant2,7,23,-7.916322946548462,4.624067306518555,0.00025515500902597226,3.9682293453132713,189
gamd_cumulant2,7,24,-7.916322946548462,5.207218170166016,0.00017171619314954747,4.204326002025696,164
gamd_cumulant2,7,25,-7.916322946548462,5.790369033813477,0.0022469258990323497,2.671312049730085,99
gamd_cumulant2,7,26,-7.916322946548462,6.3735198974609375,0.0001513798134780257,4.279472771602161,49
gamd_cumulant2,7,27,-7.916322946548462,6.956670761108398,8.821986126630288e-05,4.6013759421095966,15
gamd_cumulant2,7,28,-7.916322946548462,7.539821624755859,6.205164940875578e-09,10.30199253047186,2
gamd_cumulant2,7,29,-7.916322946548462,8.12297248840332,0.0,,0
gamd_cumulant2,8,0,-6.980746094385783,-8.788402557373047,0.0,,0
gamd_cumulant2,8,1,-6.980746094385783,-8.205251693725586,0.0,,0
gamd_cumulant2,8,2,-6.980746094385783,-7.622100830078125,0.0,,0
gamd_cumulant2,8,3,-6.980746094385783,-7.038949966430664,0.0,,0
gamd_cumulant2,8,4,-6.980746094385783,-6.455799102783203,0.0,,0
gamd_cumulant2,8,5,-6.980746094385783,-5.872648239135742,0.000741707183408158,3.332075605020065,4
gamd_cumulant2,8,6,-6.980746094385783,-5.289497375488281,8.446731081399918e-07,7.3727137340936135,5
gamd_cumulant2,8,7,-6.980746094385783,-4.70634651184082,1.4302934673633536e-05,5.6860123261316815,27
gamd_cumulant2,8,8,-6.980746094385783,-4.123195648193359,5.7071723017889086e-05,4.861018096892305,68
gamd_cumulant2,8,9,-6.980746094385783,-3.5400447845458984,0.0013335900701349538,2.982322477792011,115
gamd_cumulant2,8,10,-6.980746094385783,-2.9568939208984375,0.0012370629213037212,3.0271148457440957,166
gamd_cumulant2,8,11,-6.980746094385783,-2.3737430572509766,0.00022515834275963213,4.042789649748674,206
gamd_cumulant2,8,12,-6.980746094385783,-1.7905921936035156,0.00026768435237150835,3.939651008515802,236
gamd_cumulant2,8,13,-6.980746094385783,-1.2074413299560547,0.0003345903049565163,3.8066484311853124,306
gamd_cumulant2,8,14,-6.980746094385783,-0.6242904663085938,0.0008000127691075726,3.2869622001541607,301
gamd_cumulant2,8,15,-6.980746094385783,-0.04113960266113281,0.0003384767519864701,3.799763604618054,364
gamd_cumulant2,8,16,-6.980746094385783,0.5420112609863281,0.0016672448120839665,2.849200949622046,335
gamd_cumulant2,8,17,-6.980746094385783,1.125162124633789,0.010147415741466548,1.7725058919624082,310
gamd_cumulant2,8,18,-6.980746094385783,1.70831298828125,0.0014119095792297913,2.948300452016902,286
gamd_cumulant2,8,19,-6.980746094385783,2.291463851928711,0.002939984487826705,2.511039282717828,280
gamd_cumulant2,8,20,-6.980746094385783,2.874614715576172,0.004176263273224603,2.3017791698879946,276
gamd_cumulant2,8,21,-6.980746094385783,3.457765579223633,0.0017885961426367997,2.807315502765902,280
gamd_cumulant2,8,22,-6.980746094385783,4.040916442871094,0.0021805792765200297,2.6891804639628183,248
gamd_cumulant2,8,23,-6.980746094385783,4.624067306518555,0.0022273933350410607,2.6765171464910376,257
gamd_cumulant2,8,24,-6.980746094385783,5.207218170166016,0.0023333738984062007,2.648805631857673,173
gamd_cumulant2,8,25,-6.980746094385783,5.790369033813477,2.9205586961927006e-05,5.260415599682263,92
gamd_cumulant2,8,26,-6.980746094385783,6.3735198974609375,0.0009536084162040605,3.1822611176007527,45
gamd_cumulant2,8,27,-6.980746094385783,6.956670761108398,0.001417780889527234,2.9458265044881533,21
gamd_cumulant2,8,28,-6.980746094385783,7.539821624755859,0.0,,0
gamd_cumulant2,8,29,-6.980746094385783,8.12297248840332,0.0,,0
gamd_cumulant2,9,0,-6.045169242223103,-8.788402557373047,0.0,,0
gamd_cumulant2,9,1,-6.045169242223103,-8.205251693725586,0.0,,0
gamd_cumulant2,9,2,-6.045169242223103,-7.622100830078125,0.0,,0
gamd_cumulant2,9,3,-6.045169242223103,-7.038949966430664,0.0,,0
gamd_cumulant2,9,4,-6.045169242223103,-6.455799102783203,3.0283453084868535e-08,9.356946071752937,1
gamd_cumulant2,9,5,-6.045169242223103,-5.872648239135742,9.187267180842565e-08,8.695325000668237,6
gamd_cumulant2,9,6,-6.045169242223103,-5.289497375488281,5.337552382383296e-06,6.2736470342402315,22
gamd_cumulant2,9,7,-6.045169242223103,-4.70634651184082,0.001697649026551067,2.83842717218776,53
gamd_cumulant2,9,8,-6.045169242223103,-4.123195648193359,0.007348910951206774,1.9648674235578794,143
gamd_cumulant2,9,9,-6.045169242223103,-3.5400447845458984,0.0008421977008725521,3.2563272028190546,189
gamd_cumulant2,9,10,-6.045169242223103,-2.9568939208984375,0.000655871756543199,3.4053970376009453,241
gamd_cumulant2,9,11,-6.045169242223103,-2.3737430572509766,0.0038943883705881916,2.3434390721836356,290
gamd_cumulant2,9,12,-6.045169242223103,-1.7905921936035156,0.00041763525344915394,3.6744784987890196,320
gamd_cumulant2,9,13,-6.045169242223103,-1.2074413299560547,0.00024168854371094434,4.000554015328478,359
gamd_cumulant2,9,14,-6.045169242223103,-0.6242904663085938,0.0008812759287454076,3.229287717536711,390
gamd_cumulant2,9,15,-6.045169242223103,-0.04113960266113281,0.0008071581275792544,3.281661190645977,379
gamd_cumulant2,9,16,-6.045169242223103,0.5420112609863281,0.0002734191516743544,3.9270138946549613,325
gamd_cumulant2,9,17,-6.045169242223103,1.125162124633789,0.002400270348964136,2.6319544590021016,323
gamd_cumulant2,9,18,-6.045169242223103,1.70831298828125,0.0007062740713614342,3.361258396191154,313
gamd_cumulant2,9,19,-6.045169242223103,2.291463851928711,0.0019648066877229245,2.7512985029149535,334
gamd_cumulant2,9,20,-6.045169242223103,2.874614715576172,0.001317421611871997,2.989594515345492,353
gamd_cumulant2,9,21,-6.045169242223103,3.457765579223633,4.1912385100893334e-05,5.045069421094103,330
gamd_cumulant2,9,22,-6.045169242223103,4.040916442871094,0.006108343796145532,2.0750955335910053,264
gamd_cumulant2,9,23,-6.045169242223103,4.624067306518555,0.00012908359275816717,4.374460220671105,213
gamd_cumulant2,9,24,-6.045169242223103,5.207218170166016,0.00272873864136692,2.555491952275108,130
gamd_cumulant2,9,25,-6.045169242223103,5.790369033813477,0.01086015740298946,1.7320374259787097,110
gamd_cumulant2,9,26,-6.045169242223103,6.3735198974609375,0.02016634685194945,1.3630646209317367,45
gamd_cumulant2,9,27,-6.045169242223103,6.956670761108398,0.0003891031933899455,3.7166651750195623,16
gamd_cumulant2,9,28,-6.045169242223103,7.539821624755859,9.325706788243522e-08,8.686408672928156,6
