window,center_A,k_kcal_mol_A2,secondary_center_window_table,secondary_k_kcal_mol_window_table,samples,cv_mean_A,cv_std_A,cv2_mean,cv2_std,self_bias_median_kT,self_bias_p90_kT,overlap_left,overlap_right,cv_space_neighbor,cv_space_overlap_marginal,cv_space_overlap_joint
14,0.260596,475.5454,,,94719,0.26376428507580474,0.035186750270864105,,,4.589680058755886,8.016961687432012,0.9899986663521518,0.9838617513900902,12,0.988596,
15,0.260596,475.5454,,,73013,0.2651429491295231,0.035152729605463666,,,4.395103877197336,7.962134890473646,0.9838617513900902,0.5169453755771843,12,0.975424,
16,0.312171,506.4139,,,24056,0.3124740325158513,0.03475026867445595,,,0.23782641526028536,1.3893042715519104,0.5169453755771843,0.9794763615696934,17,0.979476,
17,0.312171,506.4139,,,94719,0.3147906685081514,0.03509828432169793,,,4.164904318842433,6.6727794848497375,0.9794763615696934,0.9917862308512546,16,0.979476,
18,0.312171,506.4139,,,94719,0.3155507622683418,0.035055267262077534,,,4.574751906413091,7.981672019259336,0.9917862308512546,0.9959284023372823,16,0.971759,
19,0.312171,506.4139,,,73012,0.31573823111266797,0.03485403954226662,,,4.384414531515093,7.891582971695357,0.9959284023372823,0.4912683396674127,16,0.972494,
20,0.363746,504.5034,,,24055,0.36436165978756896,0.03519026900519552,,,0.23951736292102063,1.4251792147141253,0.4912683396674127,0.9614826352510015,21,0.961483,
21,0.363746,504.5034,,,94720,0.36771459232392795,0.03455268549863376,,,4.098484827190231,6.584743604728312,0.9614826352510015,0.9838260135135135,20,0.961483,
22,0.363746,504.5034,,,94720,0.36920718882638787,0.0347598651357495,,,4.528047589715285,7.915598080012615,0.9838260135135135,0.9923785766288326,20,0.948353,
23,0.363746,504.5034,,,73012,0.3697295568592384,0.035351738306252364,,,4.355895073513606,7.871119419288884,0.9923785766288326,0.5453519519720852,20,0.941651,
24,0.415321,493.6658,,,24054,0.4160957588693631,0.03596788714254163,,,0.24323247496226097,1.4620221731531264,0.5453519519720852,0.969398700947025,25,0.969399,
25,0.415321,493.6658,,,94719,0.41870822365087956,0.034851179446599025,,,4.002024987270713,6.459345094365971,0.969398700947025,0.97385952132096,24,0.969399,
26,0.415321,493.6658,,,94719,0.42056907635304025,0.034486450157370896,,,4.450997443886821,7.762341440921298,0.97385952132096,0.9813954713383948,24,0.943321,
27,0.415321,493.6658,,,73012,0.42171578949225186,0.035238875648454855,,,4.297818486001253,7.790182687661174,0.9813954713383948,0.5370762701851214,24,0.937938,
28,0.466896,476.8729,,,24053,0.46607020360285667,0.035329615679755476,,,0.22776433974573151,1.363660763463421,0.5370762701851214,0.9710148674266897,29,0.971015,
29,0.466896,476.8729,,,94719,0.46869700011671994,0.034365914797313143,,,3.8544735278575093,6.296924100492273,0.9710148674266897,0.974144571773612,28,0.971015,
30,0.466896,476.8729,,,94717,0.4710406777251266,0.03425463951408178,,,4.363439732222929,7.594983745294215,0.974144571773612,0.9774276298867788,28,0.950115,
31,0.466896,476.8729,,,73011,0.47282473066734776,0.03480948764240974,,,4.199767832326296,7.59872986338043,0.9774276298867788,0.5407098491588933,28,0.928190,
32,0.518471,517.1224,,,24052,0.516091486870618,0.033578777400806066,,,0.2236851773142529,1.318573240128102,0.5407098491588933,0.9764990177007987,33,0.976499,
33,0.518471,517.1224,,,94713,0.5185718481818185,0.033847990204081815,,,3.7979133509832304,6.247998007915067,0.9764990177007987,0.985641394881611,32,0.976499,
34,0.518471,517.1224,,,94716,0.5196164923792549,0.03355399363124917,,,4.300409088696412,7.559648747631363,0.985641394881611,0.9723193700309971,32,0.962450,
35,0.518471,517.1224,,,73010,0.5223730227862657,0.033784501613936396,,,4.123590955162932,7.628444419716013,0.9723193700309971,0.5153773383366036,32,0.934852,
36,0.570046,527.8416,,,24051,0.5681452451228184,0.03452323819426306,,,0.24344716765040902,1.4271764050419353,0.5153773383366036,0.9647257791482584,37,0.964726,
37,0.570046,527.8416,,,94713,0.5706416129623507,0.03396644599747922,,,3.780051855684581,6.2099673576282415,0.9647257791482584,0.9862426488444036,36,0.964726,
38,0.570046,527.8416,,,94713,0.571957766521384,0.034496492838367934,,,4.281777504478892,7.572926418819974,0.9862426488444036,0.9540263400542917,36,0.951053,
39,0.570046,527.8416,,,73008,0.5760495917809956,0.03472890741736105,,,4.103412070438381,7.558948824424027,0.9540263400542917,0.5095332889749322,36,0.905079,
40,0.621621,504.9162,,,24051,0.6218013321306051,0.03480937166754334,,,0.2356572151968369,1.3848870210818922,0.5095332889749322,0.9803294715758355,41,0.980329,
41,0.621621,504.9162,,,94713,0.623886478662078,0.035200825188310844,,,3.6993964470680996,6.13979384815427,0.9803294715758355,0.969676813109077,40,0.980329,
42,0.621621,504.9162,,,94713,0.6265787018321753,0.03544723997229777,,,4.180989702196609,7.43748468389613,0.969676813109077,0.9569251885482639,40,0.950059,
43,0.621621,504.9162,,,73008,0.6302309646813063,0.03446354445147153,,,3.9665124891742316,7.398815546914389,0.9569251885482639,0.5483040080482054,40,0.907103,
44,0.673197,499.8177,,,24051,0.6741439814225765,0.034315790520975255,,,0.22328462855499626,1.3480861003938969,0.5483040080482054,0.9577290740257417,45,0.957729,
45,0.673197,499.8177,,,94713,0.6774055209396022,0.035319167423772335,,,3.5725822032049948,6.001669555008201,0.9577290740257417,0.9501441196034336,44,0.957729,
46,0.673197,499.8177,,,94713,0.6820874790200189,0.03503594380393476,,,4.012815370141758,7.199905393668726,0.9501441196034336,0.9706672355884266,44,0.911231,
