variant,metric,checkpoint_index,n_epochs,frac_total,bin,x,F_kcal_mol,P,count
epoch,cv_distance,5,5,0.24513780297107116,19,0.6480302932672202,0.28321108396998307,0.03424222941368436,39832
epoch,cv_distance,5,5,0.24513780297107116,20,0.6801842788544794,0.17839760927674764,0.04082414191419634,42044
epoch,cv_distance,5,5,0.24513780297107116,21,0.7123382644417384,0.07034506187709044,0.048936365702329364,47513
epoch,cv_distance,5,5,0.24513780297107116,22,0.7444922500289977,0.0,0.05506517548003383,50439
epoch,cv_distance,5,5,0.24513780297107116,23,0.7766462356162568,0.05517661102349947,0.05019745513349324,46539
epoch,cv_distance,5,5,0.24513780297107116,24,0.8088002212035159,0.24880465881389924,0.03627660142494247,40986
epoch,cv_distance,5,5,0.24513780297107116,25,0.8409542067907751,0.3307853097587401,0.03161585477569804,41082
epoch,cv_distance,5,5,0.24513780297107116,26,0.8731081923780342,0.16578049292247932,0.04169734890453289,44744
epoch,cv_distance,5,5,0.24513780297107116,27,0.9052621779652934,0.19651233059266704,0.03960233236503871,23106
epoch,cv_distance,5,5,0.24513780297107116,28,0.9374161635525524,1.0509753591914794,0.009446204864056222,2824
epoch,cv_distance,5,5,0.24513780297107116,29,0.9695701491398117,3.751483420949121,0.00010185398974360542,63
epoch,cv_distance,6,6,0.3182068859600134,0,0.037104567109296716,1.9009942815550178,0.0019891447367232982,332
epoch,cv_distance,6,6,0.3182068859600134,1,0.06925855269655586,0.721887989988768,0.014375650326598495,7110
epoch,cv_distance,6,6,0.3182068859600134,2,0.101412538283815,0.3952855281973604,0.02486293865623786,33086
epoch,cv_distance,6,6,0.3182068859600134,3,0.13356652387107412,0.40436091516895045,0.024487315464058617,56672
epoch,cv_distance,6,6,0.3182068859600134,4,0.16572050945833325,0.40551009076170264,0.024440158558984865,64041
epoch,cv_distance,6,6,0.3182068859600134,5,0.1978744950455924,0.33082081927286566,0.02770218496870537,64255
epoch,cv_distance,6,6,0.3182068859600134,6,0.23002848063285153,0.28341116133362476,0.02999516422964707,62124
epoch,cv_distance,6,6,0.3182068859600134,7,0.26218246622011065,0.2705098683428213,0.030651352391913397,59327
epoch,cv_distance,6,6,0.3182068859600134,8,0.2943364518073698,0.2627655129719817,0.031052122228318255,55598
epoch,cv_distance,6,6,0.3182068859600134,9,0.3264904373946289,0.25045043999211813,0.0317002459347885,54183
epoch,cv_distance,6,6,0.3182068859600134,10,0.35864442298188803,0.2136969155933608,0.03371607557745625,54090
epoch,cv_distance,6,6,0.3182068859600134,11,0.39079840856914716,0.1478508675766257,0.03765345823712245,55272
epoch,cv_distance,6,6,0.3182068859600134,12,0.42295239415640634,0.06731614373127304,0.04309959597008165,57083
epoch,cv_distance,6,6,0.3182068859600134,13,0.45510637974366547,0.03127764449307624,0.04578536714425189,58918
epoch,cv_distance,6,6,0.3182068859600134,14,0.4872603653309246,0.0,0.04825163038803346,61697
epoch,cv_distance,6,6,0.3182068859600134,15,0.5194143509181837,0.03633160079896913,0.04539886237687527,59877
